periodo,ganancias,ganancias dgi,ganancias dga,iva,iva dgi,devoluciones (-),iva dga,reintegros (-),internos coparticipados,otros coparticipados,derechos de exportacion,bienes personales,creditos y debitos en cta. cte,otros impuestos (3),aportes personales,contribuciones patronales,otros ingresos seguridad social (4),subtotal dgi,subtotal dga (5),total dgi-dga,sistema seguridad social,total recursos tributarios,clasificacion presupuestaria,administracion nacional
2018-12,73832.98497811,69745.41387333,4087.57110478,99209.93924902,77655.92475879,2500.0,24054.01449023,2150.0,7591.16190228,899.7898197,15794.18383039,1212.98586147,23395.18758743,2859.19668674,30302.59061479,43228.15245212,2796.74571682,190711.08091879,54301.27771967,245012.35863846,74909.09645692,319921.45509538,319921.45509538,133928.322536361
2019-01,71299.90267165,66534.42243819,4765.48023346,114742.43345116,90413.17887553,2500.0,26829.25457563,2520.0,7430.68964661,900.163078595,15572.57654339,400.30059751,24345.14749516,3117.545458395,43595.75470074,63638.95278476,3469.8437278,195650.29725419,59175.31292648,254825.61018067,109101.38752181,363926.99770248,363926.99770248,137557.718178269
2019-02,69441.18693691,65479.89792352,3961.28901339,103781.7785985,81666.95112996,2050.0,24164.82746854,1600.0,6850.95735445,696.780647215,17592.40776515,1185.53153457,24835.01850867,2747.312413355,34219.01227297,49798.50963535,3400.17848333,190256.42859748,54850.47587785,245106.90447533,85783.8165102,330890.72098553,330890.72098553,133636.33561066
2019-03,60690.0582997,56037.81314302,4652.24515668,108396.94998288,81867.93847976,500.0,27029.01150312,1500.0,6920.09291638,725.20355647,18166.37761637,345.99806673,22336.68153842,5986.25733893,34588.07826394,49119.69398792,3767.41993253,180546.43017089,61631.31731898,242177.74748987,85691.96438787,327869.71187774,327869.71187774,125727.810525127
2019-04,72782.95813502,67581.90084178,5201.05729324,117200.06304147,89469.8467392,3300.0,31030.21630227,2300.0,7011.32572074,804.70994624,23820.32997758,1172.84874209,23686.7278478,-251.313053999991,36992.03057364,56990.2206476,3364.94343703,193973.25496423,72099.99107404,266073.24603827,91289.03018903,357362.2762273,357362.2762273,141933.392104317
2019-05,129056.42911063,122835.10381036,6221.32530027,126173.4388278,86081.81077036,5300.0,45391.62805744,4500.0,6720.00972578,1031.787273,38425.09384827,535.76218709,28704.37508748,3989.26339595,37079.78843912,47768.34348706,3634.71588514,246718.90600372,106839.84236843,353558.74837215,90690.99939488,444249.74776703,444249.74776703,190271.363019176
2019-06,136853.52735506,131296.88988349,5556.63747157,127408.14749959,90943.12656621,2500.0,38965.02093338,3600.0,6815.80015459,1902.071984725,28222.96431352,6384.95235166,27330.99554068,6042.47888579501,37731.86454441,52696.41454799,3500.94378074,273951.14446137,88358.2034127,362309.34787407,92132.78955659,454442.13743066,454442.13743066,185577.275541669
2019-07,99001.15543185,92808.76854409,6192.38688776,131014.45526112,91344.21761772,4150.0,43820.2376434,2350.0,7038.07578485,1058.19701857,29325.7498541,2107.8874186,29232.0146799,3139.89401585001,51157.02681779,71759.85182355,3682.70595394,229969.87542512,96378.83084221,326348.70626733,124561.09587995,450909.80214728,450909.80214728,175428.181850393
2019-08,102676.97577113,95507.94697269,7169.02879844,141394.87150939,94224.25498643,4850.0,52020.61652296,2150.0,7137.8645169,925.893197125,39383.96632472,5588.99429555,31907.45552811,2853.449514405,39097.67379553,56257.15021845,3886.86377725,242984.64424011,117990.76812904,360975.41236915,97519.18593517,458494.59830432,458494.59830432,198316.161756984
2019-09,83699.15026645,76805.34695711,6893.80330934,139170.06907955,90670.99354216,2850.0,51349.07553739,1050.0,7871.26264575,1045.62301242,32147.98779848,1230.66813895,31545.61327693,3490.03642035,32563.05119528,54210.29353612,3340.78226388,223296.83816738,110546.26617073,333843.10433811,88168.55366629,422011.6580044,422011.6580044,182493.069404726
